case,gmres,bgmres8,bgmres16,bgmres32
bfwa398,8,6,5,5
bfwa62,5,4,4,2
bfwa782,9,7,6,6
bwm200,7,5,4,4
bwm2000,19,9,8,6
cdde1,10,8,8,7
cdde2,4,4,4,4
cdde3,9,6,6,6
cdde4,4,4,4,4
cdde5,8,5,5,5
cdde6,4,4,4,4
ck104,7,5,4,3
ck400,9,5,5,4
ck656,10,6,5,4
dw1024,6,4,4,3
dw256A,6,5,4,4
dw256B,4,3,3,3
dw4096,1,1,1,1
lop163,4,4,4,3
mhda416,2000,2000,2000,2000
odepa400,1,1,1,1
olm100,1,1,1,1
olm1000,21,8,6,6
olm2000,22,8,7,6
olm500,2,2,2,2
olm5000,22,8,7,6
pde225,4,4,4,4
pde2961,8,7,7,6
pde900,5,5,5,5
qh882,2000,2000,2000,2000
rbsa480,54,14,10,8
rbsb480,45,13,10,8
rdb2048,7,6,6,5
rdb5000,11,8,7,7
rdb968,6,5,5,5
rw136,2000,2000,2000,2000
rw496,2000,2000,2000,2000
rw5151,2000,2000,2000,2000
tub100,6,4,4,3
tub1000,12,6,5,5
cryg10000,114,2000,1380,691
cryg2500,35,690,338,72
dw2048,6,4,4,3
dw8192,1,1,1,1
dwa512,6,5,4,4
dwb512,4,3,3,3
mhd3200a,2000,2000,2000,2000
mhd4800a,2000,2000,2000,2000
qh1484,2000,2000,2000,2000
qh768,2000,2000,2000,2000
rdb1250,8,6,6,5
rdb1250l,6,5,5,5
rdb200,4,4,4,3
rdb200l,6,5,5,4
rdb2048_noL,9,6,6,6
rdb3200l,9,7,6,6
rdb450,6,5,4,4
rdb450l,6,5,5,5
rdb800l,6,5,5,5
tols1090,2000,2000,2000,2000
tols2000,2000,2000,2000,2000
tols340,2000,2000,2000,2000
tols4000,2000,2000,2000,2000
tols90,2000,2000,2000,2000
